comment_text,target
"Problem Qeydiyyatdan keçmişem. Normal işleyirdi. Amma çıxış edib yeniden daxil olmaq istedim “istifadeçi adı ve parol yanlıştı” yazır. Hansı ki, bunları ezberden bilirim. Bir neçe telefonda da yoxladıq, eyni xetanı yazdın. Sizden xahiş bu problemi aradan qaldırın.",1
"Funksionallıq aşağıdır Heç nə anlaşılan deyil, medaxil, mexaric, ödənilməli cari borcu görmək olmur. 
Bir kartın çox fırıldaqları var. Olmayan yerdən görürsən ki faiz borcu hesablanır, ödənişlər hesaba gec oturur, gecikmə düşür və s.",1
"Useful app Very good application , like it and recommend to everyone",0
Serverle elaqe qurmaq mumkun olmadi Qeydiyyatdan kecmek mumkun deyil qeydiyyatda olarkende proqrama girmek olmur nazasliqi arada qaldirin zehmet olmasa,1
Cox keyfiyyetsiz praqramdi Pulumu cixiblar odeniw oturmayib cox keyfiyyetsiz praqramdi yuklemeye deymez 13 gun yalandan gozduyun deyirler hec ne de deyiwilk olmur yalandan gozdediller pulu wotdan cixib odeniwi yerine yetirmiller,1
Gadabey f BirBank 👍 1 Bank ucun tesekkurler,0
Siz Azərbaycan bankısız Siz Azərbaycan bankısız niyə yenilənmə haqda məlumatları ingiliscə yazırsız?,1
Error Zibil kimi 1gun isleyende 5 gun islemir,1
😯 Son vaxtlar yaxsi islemir,0
xəta tez tez 101 xətası çıxır. digər bankların mobil proqram təminatlarına nisbətən istifadə daha çətindir və onlar qədər sürətli deyil. menyu qarışıqdır.,1
(( Вечно сервер не работает((( устраните проблему  пожалуйста,1
Köçürmede problemler var Karta köçürülen pullar gösterilmir,1
BirBank Sms Banking uptadesi ela olub cox sagolun :) canim qutardi 😊,0
Birkart və birbank Birkart və birbankı əldə etməyə və birkart haqqında ətraflı məlumata görə Bravo 2 filialına təşəkkürümü bildirirəm,0
"Super ançaq bir istək Çox sağolun, mümkünsə Face ID əlavə edərdiz.

Mən istərdim istifadədə olmayan kartları silə bilim. Çünki her il kartı yeniliyəndə köhnə ve istifadədə olmayam kartlar yığılıb qalır.",0
Emil Çox gözəl və faydalı proqramdı! Təşəkkürlər Kapital Bank!,0
Lemka Ela proqramdi Gence Kapital  Banka tesekkurler,0
"superdi !!! Hədiyyələr qazandıran proqramdı 👍 Yeniliklərə və bunlar barədə bizi məlumatlandırıb tətbiqi tövsiyyə etdiklərinə görə Kapital Banka, xüsusən də, Gəncə Filialının əməkdaşlarına təşəkkürlər !!!",0
Bildirim İOS 12.2’də bildirimi fix eləsəz yaxşı olar. Belə mükəmməl aplikasiyadır.,0
Ragibb Burada son emeliyyatlari nece silimki goren olmasin esas sehifede?,0
Qeyri-əhali - azərişıq Salam. Tətbiqdə azərişıq qeyri-əhali əbunəçilərin kodunu tapmır.,0
5 stars! Thank you very much for magnificent app.! Gazakh,0
"App išlemir Hesabdan karta vesait köçürme etmek slinmir. Hesab görsenmir. 
Hesabdan bašqa bankin kartina vesait köçuürmek alinmir.",1
Birkart Ela programdi.apple pay funksiya elave olsa yaxshi olar,0
"!!! Mən nomrəni dəyişmişəm və giriş üçün də kod yadımda deyil.Nə qədər təzə nomrə ilə qeydiyyatdan keçməyə çalışıram, elə hey 257 erroru verir, limitə çatmısız keçmisiz və s . Əsəblərimi oynatdı ! Neyniyim indi mən?!",1
Kod 328 Axrinci yenilmeden sonra Kod 328 sehvi verir odenis etmek olmur hec yere.Melumat vermeyiniz xahis olunur bu haqda,1
Proqram acilmir Proqram acilmir.sebebini bilmek olarmi?,1
Unable renewing password Passwordu unutdugumuz zaman berpa etmek ve yenilemek ucun link qoyulmayib.Ona gore de istifade etmek olmur.,1
Seçilmiş ödənişlər bölməsi işləmir Seçilmiş ödənişlər bölməsi hər seçimdə server error edir,1
erorr error verir nece duzeldim bunu?,1
Login parol Login və parolun avtomatik doldurulması zamanı proqram bağlanır.,0
BirBank Очень удобное приложение! Спасибо вам за работу!,0
Balans Karta Medaxil oldugda balansdaki mebleg gec tezelenir(bir muddet evvelki meblegi gosterir),1
Astara filiali Tesekkurler Astara filiali .xidmet bolmesi tsk,0
👍🏻 👍🏻,0
Kapital Bankin Lerik filialinda qosuldum Kapital Bankin Lerik filialinda qosuldum,0
Birbank Çox əladı 👍👍👍,1
Birbank Quick and easy to use ! best app ever👌,0
"Fingerprint and password As you update the app from time to time, it sometimes doesn’t recognize fingerprint or passcode commands. This bug is really annoying. I have to set it up all at every failure. You should deal with it ASAP",1
Super App Cox ela programdi. Dahada yenilikler gelsin,0
Bugs Please enforce us to update the application when you change sign in business logic.,1
"Change the UI/UX Thanks for application. However it looks like this one developed for Android, and mixed with iOS guides. It will be very nice, if you make this one to look native on this platform, for now it looks like i am using android version on iOS.",0
Laçın filalı Laçın filalı Humbat abbasov xidmet bolmesi,0
Laçın filialı Hümbət Abbasov,0
"Super... Chox gozel aplikasiya dir
Sadece bilmek isteyiremki neye gore azercell,bakcell ve nar nomrelere 0.20,0.50 ve.s mebleg gondermrk olmur?minimum 1azn gondermek olur mende niye?
Ama orda yaxilibki minimum 0.20 azn gondere bilersiz",0
"Really works! Thanks a lot for exellent app. Really very easy to use. You are always can review your accounts,quickly make payments and etc.. I’m very happy with this app🤗🤗",0
Birbank Chox ela. Masalli filialina derin teshekkurler. Xidmetiniz super!!!,0
Problem Salam. Men kartimin nomresini ve pin kodu yazmagima baxmayaraq giriw ede bilmirem. Ne ile bagli ola biler,0
Birbank SalamSabran filialind yuklendi Mehman,1
"Login Error When I am trying for login app says error.

why ?",1
Birbank Mingecevir filialindan qosuldum. tesekkurler J.M,0
Zedab fliali Zerdab fliali Ele proqramdir cox sagolun,0
Humbat Abbasov Laçın filialı,0
Teshekkur Bakixanov filiali Memmedzade Atgule teshekkur,0
"👎🏻 Çox bərbad.
Əvvəlki proqramdan rahatlıqla istifadə edirdim. Sentyabr ayında fəaliyyət dayandırılacağı üçün, bir bank'a keçmək məcburiyyətində qaldım. Qeydiyyat'dan keçərkən xəta verdi. 196'ya zən vurdum, əvvəlki hesabları bağladılar, sonra bir daha qeydiyyata cəhd etdim xəta 101 verdi. Bir daha yığdım, müraciətimi qəbul etdilər, sonra dedilər 3 günə baxılacaq, heç bir nəticə olmadı. Yenə zəng vurdum, dedilər 10 günə baxılacaq. 
Digər 3 bankda debit kart hesablarım var əvvəldən, bu bankın xidməti """"""""rahat"""""""" olduğu üçün keçmişdim bura. 
Hesablarımla bağlı internetdə birçox əməliyyat aparmalı idim, indi bu dəxlisiz problemə görə bütün planlarım alt-üst olub.
Bu qədər gücə malik Kapital Bank'a, bu cür xırda problemlər heç yaraşmır. Sizi seçdiyim üçün çox təssüfflənirəm.",1
Kapital Bank Samux filialindan yukledim.Ela xidmet gosterildi.Cox raziyam Kapital Bank Samux filialindan yukledim.Ela xidmet gosterildi.Cox raziyam,0
Zerdab fliali Salam Zerdab flialinda yukledim proqrami ela proqramdir istifadesi rahat,0
Teshekkur Bakixanov filiali Miriyev Amile teshekkur,0
NFC сделайте пожалуйста поддержку NFC,0
Birbank Mingecevir Filiali Suleymanova Gulnar,0
Ağdaş filialı Ağdaş filialında qoşuldum əla,0
birbank Astara filiali tesekkurler,0
Bakixanov filiali Eliyev Ramile teshekkur Yaxwi programdie,0
Rahat sistem Simal filiali yardimiyla yukledim,0
