Title,Author_URL,Author_Name,App_Version,Rating,Review,Date,comment_text,target
Problem,https://itunes.apple.com/az/reviews/id356703767,AnikAbbas,CI.4.04,3,"Salam, mən biləcəri dairəsi adlanan ərazidə yaşayıram. Səhər xəritədə baxıram çox yaxında Bolt taksilər dayanıb. Lakin sifariş verəndən sonra taksi Memar əcəmidən yaxud mənə çox uzaq ərazidən sifarişi qəbul edir. hər gün bu problemi yaşayıram. Həm sürücü yanacaq sərfiyatında uduzur həm müştəri vaxt problemi yaşayır. Xahiş edirəm artıq bu problemə bir həll yolu tapın. Təşəkkürlər",2019-09-29T21:44:31Z,"Problem Salam, mən biləcəri dairəsi adlanan ərazidə yaşayıram. Səhər xəritədə baxıram çox yaxında Bolt taksilər dayanıb. Lakin sifariş verəndən sonra taksi Memar əcəmidən yaxud mənə çox uzaq ərazidən sifarişi qəbul edir. hər gün bu problemi yaşayıram. Həm sürücü yanacaq sərfiyatında uduzur həm müştəri vaxt problemi yaşayır. Xahiş edirəm artıq bu problemə bir həll yolu tapın. Təşəkkürlər",1
Useless app,https://itunes.apple.com/az/reviews/id1017147502,Kipcahk21,CI.4.04,1,Drivers are irresponsible. Most of them dont move to the  order destination and even dont cancel in such cases. It repeats often. App is useless if drivers dont work normally.,2019-09-26T06:08:09Z,Useless app Drivers are irresponsible. Most of them dont move to the  order destination and even dont cancel in such cases. It repeats often. App is useless if drivers dont work normally.,1
👍,https://itunes.apple.com/az/reviews/id531282118,vohfa,CI.4.04,5,👍,2019-09-22T15:45:51Z,👍 👍,0
Berbad,https://itunes.apple.com/az/reviews/id1073459454,Aynur95,CI.4.03,1,"Kobud suruculer,dehlisiz kartdan pul cixmalar ve ishdemeyen support funksiyasi.Berbad!",2019-09-14T13:38:07Z,"Berbad Kobud suruculer,dehlisiz kartdan pul cixmalar ve ishdemeyen support funksiyasi.Berbad!",1
Nice app,https://itunes.apple.com/az/reviews/id207897751,OrkhanHajiyev,CI.4.02,4,There is no indicator for north in map.. it is confusing a lot. It is not possible to choose multiple points for station while requesting taxi. Please consider all this on new versions. Thanks,2019-09-08T04:54:43Z,Nice app There is no indicator for north in map.. it is confusing a lot. It is not possible to choose multiple points for station while requesting taxi. Please consider all this on new versions. Thanks,0
Есть косяки без них не как...,https://itunes.apple.com/az/reviews/id336249970,Vahid0891,CI.4.02,5,"Надеюсь добавите функцию чтоб выбрать два адреса куда ехать., бывает очень нужно. А так программа хорошая мне нравиться, доволен.",2019-09-07T06:59:21Z,"Есть косяки без них не как... Надеюсь добавите функцию чтоб выбрать два адреса куда ехать., бывает очень нужно. А так программа хорошая мне нравиться, доволен.",0
don’t download!,https://itunes.apple.com/az/reviews/id534948781,Podvodil,CI.4.01,1,why bolt without motive money from my card taking?!!!!!!!!!!!!!!!!!! answerr! nie menim kartimnan bosu bosuna odenisler cixir?! yuklemeyin bu tetbiqi!! elaqe nomresi bele tapmaq olmurki yeyilen haqqimi geri qaytarim!!!!!,2019-09-02T19:26:40Z,don’t download! why bolt without motive money from my card taking?!!!!!!!!!!!!!!!!!! answerr! nie menim kartimnan bosu bosuna odenisler cixir?! yuklemeyin bu tetbiqi!! elaqe nomresi bele tapmaq olmurki yeyilen haqqimi geri qaytarim!!!!!,1
Tövsiye,https://itunes.apple.com/az/reviews/id891301351,ayaelka,CI.4.01,5,Sıqaret cekılesı mumkun olsa yaxwı olar,2019-08-27T14:08:15Z,Tövsiye Sıqaret cekılesı mumkun olsa yaxwı olar,0
Etik olmayan unvan,https://itunes.apple.com/az/reviews/id815795226,Ayten Ganiyeva,CI.4.00,1,Salam.Men Bakixanov qesebesinde yerleshen Serham markete getmek isteyirdim xeritede unvani axtararken Serham marketin yaninda “Essey market” yazilmishdi xahish edirik bu meseleni hell edesiz.,2019-08-24T08:08:06Z,Etik olmayan unvan Salam.Men Bakixanov qesebesinde yerleshen Serham markete getmek isteyirdim xeritede unvani axtararken Serham marketin yaninda “Essey market” yazilmishdi xahish edirik bu meseleni hell edesiz.,1
Еще немного и удалюсь,https://itunes.apple.com/az/reviews/id947597762,Elllnurjoko,CI.4.00,1,"3-й год пользуюсь программой, все было хорошо, но в последнее время не возможно без нервов заказать такси, водители вообще обнаглели, ждешь их ждешь а они отменяют заказ после длительного ожидания, кароче все как всегда в Азербайджане , все наглеют и не обращают внимание на клиентов!",2019-08-23T12:32:04Z,"Еще немного и удалюсь 3-й год пользуюсь программой, все было хорошо, но в последнее время не возможно без нервов заказать такси, водители вообще обнаглели, ждешь их ждешь а они отменяют заказ после длительного ожидания, кароче все как всегда в Азербайджане , все наглеют и не обращают внимание на клиентов!",1
Xidmet 0,https://itunes.apple.com/az/reviews/id551879422,FuadDeutschland,CI.3.99,1,"O gun sifarish vermish 10 deygedi gozleyirem surucu ( gotu poxlu gede)  sifarishi gebul edib, Amma Gelmir. Zeng vurmusham hardasan, gelirsen? Deyir ishim var otmenit ele sifarishi chox kobud danishir ozde gede.Bele atasi bilinmeyen cindirlari ishe gebul edendi gunah, teki pul olsun. Seviyyeniz 0!!! Surucu sechimine diqqetle yanashin, caamatin ailelisi de istifade edir bu xidmetden!!!",2019-08-04T23:28:16Z,"Xidmet 0 O gun sifarish vermish 10 deygedi gozleyirem surucu ( gotu poxlu gede)  sifarishi gebul edib, Amma Gelmir. Zeng vurmusham hardasan, gelirsen? Deyir ishim var otmenit ele sifarishi chox kobud danishir ozde gede.Bele atasi bilinmeyen cindirlari ishe gebul edendi gunah, teki pul olsun. Seviyyeniz 0!!! Surucu sechimine diqqetle yanashin, caamatin ailelisi de istifade edir bu xidmetden!!!",1
👍🏻👍🏻👍🏻👍🏻,https://itunes.apple.com/az/reviews/id1050031357,Feqann,CI.3.96,5,🙂👍🏻👍🏻👍🏻👍🏻,2019-07-25T20:55:52Z,👍🏻👍🏻👍🏻👍🏻 🙂👍🏻👍🏻👍🏻👍🏻,0
Raziyam,https://itunes.apple.com/az/reviews/id966668027,Rusif014,CI.3.96,5,Cox unsiyyetcil mehriban ve gozel masin surme qabiliyyeti,2019-07-25T18:59:07Z,Raziyam Cox unsiyyetcil mehriban ve gozel masin surme qabiliyyeti,0
👍👍👍,https://itunes.apple.com/az/reviews/id481599238,Aytac Agayeva,CI.3.95,5,⭐️⭐️⭐️⭐️⭐️,2019-07-21T03:02:09Z,👍👍👍 ⭐️⭐️⭐️⭐️⭐️,0
bu gun taxyfile meni qane ustumde o qeder pul yox idi mebur qalıb borc aldım,https://itunes.apple.com/az/reviews/id1049415745,jala huseyın,CI.3.95,1,qiymet meni qane etmedı 7.50 yazılmısdı unvana catanda halbuki 13.40 m ödedim((,2019-07-18T21:07:00Z,bu gun taxyfile meni qane ustumde o qeder pul yox idi mebur qalıb borc aldım qiymet meni qane etmedı 7.50 yazılmısdı unvana catanda halbuki 13.40 m ödedim((,1
Bolt,https://itunes.apple.com/az/reviews/id1049407361,Nebikarem,CI.3.95,5,"Great service, fast pick ups and low prices",2019-07-18T20:28:31Z,"Bolt Great service, fast pick ups and low prices",0
Super,https://itunes.apple.com/az/reviews/id1047146105,ZauRaul,CI.3.94,5,Super beyendim. bele qalin.!,2019-07-13T16:55:44Z,Super Super beyendim. bele qalin.!,0
I like this app,https://itunes.apple.com/az/reviews/id186587357,murikmika,CI.3.93,5,It is so good they all good taxi 's,2019-07-07T16:21:30Z,I like this app It is so good they all good taxi 's,0
Salam,https://itunes.apple.com/az/reviews/id363590027,Mewedi-555@mail.211,CI.3.93,1,Men niye bloklanmiwam ????,2019-07-05T09:32:17Z,Salam Men niye bloklanmiwam ????,1
Bolt,https://itunes.apple.com/az/reviews/id507404211,Baghskd,CI.3.92,1,"Sizin sürücülərin kobudluğundan boğaza yığılmışam! Normal nə danışa bilirlər nə, nə də yol tanıyırlar! Keçən dəfə gəlmişəm deyir ki, ləğv eləmişəm sifarişi durub hələ bunu deməyə gözləyir kobud şəkildə! Sizi heç bəyənmirdim silmişdim , yenə siləcəm! Sadəcə biabırçılıqdı! Ümumiyyətlə sizin sürüclərə xüsusi ünsiyyətlə bağlı təlim vermək lazımdı!",2019-06-30T17:24:55Z,"Bolt Sizin sürücülərin kobudluğundan boğaza yığılmışam! Normal nə danışa bilirlər nə, nə də yol tanıyırlar! Keçən dəfə gəlmişəm deyir ki, ləğv eləmişəm sifarişi durub hələ bunu deməyə gözləyir kobud şəkildə! Sizi heç bəyənmirdim silmişdim , yenə siləcəm! Sadəcə biabırçılıqdı! Ümumiyyətlə sizin sürüclərə xüsusi ünsiyyətlə bağlı təlim vermək lazımdı!",1
Cox gozel tam vaxtinda gelir,https://itunes.apple.com/az/reviews/id992263161,xarosi,CI.3.91,5,Cox gozel tam vaxtinda gelir,2019-06-23T17:21:47Z,Cox gozel tam vaxtinda gelir Cox gozel tam vaxtinda gelir,0
Increased prices,https://itunes.apple.com/az/reviews/id715328919,uberclient92,CI.3.91,1,Prices are increased majority of time. Not competitive,2019-06-23T10:54:20Z,Increased prices Prices are increased majority of time. Not competitive,1
Служба поддержки,https://itunes.apple.com/az/reviews/id735599863,Гасанага,CI.3.91,1,"В приложении очень не удобное меню, особенно когда хочешь связаться с службой поддержки. И сам сервис на донном уровне.",2019-06-22T04:47:52Z,"Служба поддержки В приложении очень не удобное меню, особенно когда хочешь связаться с службой поддержки. И сам сервис на донном уровне.",1
Предложение,https://itunes.apple.com/az/reviews/id1036850407,Турал Машадли,CI.3.91,5,"Ув. Разрабы.  Почему после поездки я хочу зайти и допустим оставить хвалебный отзыв о водителе. А мне на выбор вместо хвалебны только варианты того что Водитель накосячил.  Или вы так не уверены в ваших водителях , что они по вашему мнению только косячить могут.  Либо вы упустили такое важное дело как - похвала для работника.  Добавьте пожалуйста эту услугу. Спасибо",2019-06-19T19:59:11Z,"Предложение Ув. Разрабы.  Почему после поездки я хочу зайти и допустим оставить хвалебный отзыв о водителе. А мне на выбор вместо хвалебны только варианты того что Водитель накосячил.  Или вы так не уверены в ваших водителях , что они по вашему мнению только косячить могут.  Либо вы упустили такое важное дело как - похвала для работника.  Добавьте пожалуйста эту услугу. Спасибо",0
Unlike,https://itunes.apple.com/az/reviews/id1029278689,turan83,CI.3.89,1,Nağdsız ödənişə keçənə qədər yaxşı idi. İndi nağdsız ödəniş edirəm sürücülər deyinir hətta imkanları olsa aparmazlar.,2019-06-10T15:31:45Z,Unlike Nağdsız ödənişə keçənə qədər yaxşı idi. İndi nağdsız ödəniş edirəm sürücülər deyinir hətta imkanları olsa aparmazlar.,1
👏🏼,https://itunes.apple.com/az/reviews/id938486233,Ragimakhanim,CI.3.88,5,9933den canimizi gurtardiginiz ucun teshekkur edirem) axir ki normal ishleye bilen taksi shirketi tapa bildik🥳,2019-06-09T10:13:40Z,👏🏼 9933den canimizi gurtardiginiz ucun teshekkur edirem) axir ki normal ishleye bilen taksi shirketi tapa bildik🥳,0
Fake first use promotion code,https://itunes.apple.com/az/reviews/id169936896,Saif eyad,CI.3.87,1,"I got a promo code for first time use with a single payment option over credit card Only, then they charged my card , while it’s showing “zero” cost in my trips history ! As well as no body answering if you claim it ?! 

Im an old user for uber in many cities around the world , at least when i get a problem they will answer me and reply..",2019-06-07T19:23:16Z,"Fake first use promotion code I got a promo code for first time use with a single payment option over credit card Only, then they charged my card , while it’s showing “zero” cost in my trips history ! As well as no body answering if you claim it ?! 

Im an old user for uber in many cities around the world , at least when i get a problem they will answer me and reply..",1
👌,https://itunes.apple.com/az/reviews/id374252042,Vüsala,CI.3.87,5,Ela,2019-06-02T20:21:34Z,👌 Ela,0
Keyfiyyetsiz suruculer,https://itunes.apple.com/az/reviews/id620628876,birbank,CI.3.86,1,"Salam, men umumiyyetle nagd odenishden istifade etmirem deye taxify ve uber kimi taxi xidmetlerinden istufade edirdim.
25,05,2019 tarixinde odemishi kartla secmisdim surucunun biri yolun ortasinda dedi ki unvan bura dusurtdu, diger surucu ise kartla odenish secildiyine yuksek narazligin bildirdi. Zehmet olmasa adinizin qorunmasi ucun xidmeti icra eden suruculeri en azindan secerdiniz. Yox eger kartla odenish yoxdursa legv edin ishimizi bilek!!!!!!!!
Xusuen Opel Astra surucusu Eziz 90EB387 bu surucu ile bagli tedbir gormeyiniz xahish olunur!!!",2019-05-26T10:47:37Z,"Keyfiyyetsiz suruculer Salam, men umumiyyetle nagd odenishden istifade etmirem deye taxify ve uber kimi taxi xidmetlerinden istufade edirdim.
25,05,2019 tarixinde odemishi kartla secmisdim surucunun biri yolun ortasinda dedi ki unvan bura dusurtdu, diger surucu ise kartla odenish secildiyine yuksek narazligin bildirdi. Zehmet olmasa adinizin qorunmasi ucun xidmeti icra eden suruculeri en azindan secerdiniz. Yox eger kartla odenish yoxdursa legv edin ishimizi bilek!!!!!!!!
Xusuen Opel Astra surucusu Eziz 90EB387 bu surucu ile bagli tedbir gormeyiniz xahish olunur!!!",1
Good,https://itunes.apple.com/az/reviews/id422173488,alyar.ramazanov,CI.3.86,5,Balam,2019-05-24T06:05:09Z,Good Balam,0
Ödəniş zamanı fırıldaqçılıq,https://itunes.apple.com/az/reviews/id795889257,Nikaaa_n__,CI.3.86,1,"Sürücüləriviz adamı beyinsiz yerinə qoyurlar. Yazılan qiyməti çıxmırlar, qayıdıb söz də deməyə utanırsan. Bu vaxta qədər görmədimki 2.40 yazılan zaman elə 2.40 çıxsınlar. Əgər elə niyyətiviz varsa day 3.00 yazın biləy dəə işimizi. Söbət puldan gedmir, insanları barmağıvıza dolamağdan gedir. Saolun",2019-05-24T05:16:31Z,"Ödəniş zamanı fırıldaqçılıq Sürücüləriviz adamı beyinsiz yerinə qoyurlar. Yazılan qiyməti çıxmırlar, qayıdıb söz də deməyə utanırsan. Bu vaxta qədər görmədimki 2.40 yazılan zaman elə 2.40 çıxsınlar. Əgər elə niyyətiviz varsa day 3.00 yazın biləy dəə işimizi. Söbət puldan gedmir, insanları barmağıvıza dolamağdan gedir. Saolun",1
Müştərilər üçün,https://itunes.apple.com/az/reviews/id1004233388,tural-teymuroglu,CI.3.86,5,"Bakıda bir çox taksi xidməti mövcuddur, lakin BOLT Taksi kimisi yoxdu. Avtomobillər yeni, təmizlik və gigiyena qaydalarına riayət edirlər, getdiyiniz ünvana qədər olan məsafə km hesablaması ucuz , getdiyimiz ünvana tıxaca düşmədən çatırıq rahatçılıqla.  Bir söznən əla BOLT Taksi 😎👍🏻👍🏻",2019-05-18T04:05:07Z,"Müştərilər üçün Bakıda bir çox taksi xidməti mövcuddur, lakin BOLT Taksi kimisi yoxdu. Avtomobillər yeni, təmizlik və gigiyena qaydalarına riayət edirlər, getdiyiniz ünvana qədər olan məsafə km hesablaması ucuz , getdiyimiz ünvana tıxaca düşmədən çatırıq rahatçılıqla.  Bir söznən əla BOLT Taksi 😎👍🏻👍🏻",0
Ela,https://itunes.apple.com/az/reviews/id773039079,zohre95,CI.3.84,5,Qeseng,2019-05-06T10:28:30Z,Ela Qeseng,0
Eladi,https://itunes.apple.com/az/reviews/id678431422,Taharzade,CI.3.83,5,Eladi superdi,2019-04-27T20:01:02Z,Eladi Eladi superdi,0
Very bad service,https://itunes.apple.com/az/reviews/id450176570,CihanNigar,CI.3.83,1,"When i used this application as Taxify I experienced many problems such as misconduct of driver ,charges for unused rides .When i wrote they did not give it back.A week ago i downloaded again Bolt version. But today i experienced problem again.The driver talked impolitely.And i was charged for the unused ride.",2019-04-26T07:25:30Z,"Very bad service When i used this application as Taxify I experienced many problems such as misconduct of driver ,charges for unused rides .When i wrote they did not give it back.A week ago i downloaded again Bolt version. But today i experienced problem again.The driver talked impolitely.And i was charged for the unused ride.",1
Great app,https://itunes.apple.com/az/reviews/id346989490,Ziya_Rustamov,CI.3.80,5,"Really great app, easy to use, would be very glad if you add pickup time functionality",2019-04-05T03:54:38Z,"Great app Really great app, easy to use, would be very glad if you add pickup time functionality",0
Что с вами?,https://itunes.apple.com/az/reviews/id990197116,irina_8,CI.3.79,4,"Ужасная служба поддержки! Абсолютно некомпетентные девочки.
 То списывают за одну поездку с двух карт, то водители едут по маршруту «экскурсия по городу» , то не завершают поездки своевременно. После смены названия служба совершенно испортилась.",2019-03-29T11:07:14Z,"Что с вами? Ужасная служба поддержки! Абсолютно некомпетентные девочки.
 То списывают за одну поездку с двух карт, то водители едут по маршруту «экскурсия по городу» , то не завершают поездки своевременно. После смены названия служба совершенно испортилась.",0
Счёт после поездки вырос на 1 манат!,https://itunes.apple.com/az/reviews/id188900577,surgblack,CI.3.79,1,"Счёт после поездки вырос на 1 манат! Это что, развод такой???? При заказе показывал 2.43, после поездки 3.43!!! Очень разочарован!!! Не рекомендую!",2019-03-27T05:04:16Z,"Счёт после поездки вырос на 1 манат! Счёт после поездки вырос на 1 манат! Это что, развод такой???? При заказе показывал 2.43, после поездки 3.43!!! Очень разочарован!!! Не рекомендую!",1
👍,https://itunes.apple.com/az/reviews/id888491231,mehdi_1993,CI.3.78,5,👍👍👍,2019-03-26T22:29:56Z,👍 👍👍👍,0
Гавно,https://itunes.apple.com/az/reviews/id991387987,Гриетта из Баку,CI.3.77,1,Таксифай просто гавно. Не рекомендую!!!! Полный отстой,2019-03-14T15:08:45Z,Гавно Таксифай просто гавно. Не рекомендую!!!! Полный отстой,1
Немного о сервисе,https://itunes.apple.com/az/reviews/id108256563,Buskopan,CI.3.72,1,"Вообще очень удобно запускать сервис и зарабатывать. А когда ваши водители занимаются мошенничеством, у вас даже нет нигде номера диспетчера. Конечно, вам это не нужно. Достаточно написать вам и вы ответите через пару дней, что-то вроде: «мы провели беседу с водителем бла бла бла». Уже в третий раз снимают деньги с карты, за не состоявшиеся поездки! Полный беспредел! Пора менять вас на другой сервис.",2019-02-17T06:28:21Z,"Немного о сервисе Вообще очень удобно запускать сервис и зарабатывать. А когда ваши водители занимаются мошенничеством, у вас даже нет нигде номера диспетчера. Конечно, вам это не нужно. Достаточно написать вам и вы ответите через пару дней, что-то вроде: «мы провели беседу с водителем бла бла бла». Уже в третий раз снимают деньги с карты, за не состоявшиеся поездки! Полный беспредел! Пора менять вас на другой сервис.",1
Worst taxi service!,https://itunes.apple.com/az/reviews/id559555587,rauf9999,CI.3.71,1,I had a problem after ordered a taxi.. I wrote to the Taxify for solve the problem but  they didnt respond to me anything.. They are just thinking about gaining money thats all..,2019-02-12T17:04:12Z,Worst taxi service! I had a problem after ordered a taxi.. I wrote to the Taxify for solve the problem but  they didnt respond to me anything.. They are just thinking about gaining money thats all..,1
Pisdi,https://itunes.apple.com/az/reviews/id870208409,aguahwbs,CI.3.70,1,Elaqe nomreniz yoxdur wikayyeti bildirmek ucun,2019-02-02T14:36:59Z,Pisdi Elaqe nomreniz yoxdur wikayyeti bildirmek ucun,1
Xidmət barədə,https://itunes.apple.com/az/reviews/id703864961,Müştəri,CI.3.69,5,Proqram rahat və əlverişlidi. Lakin axır vaxtlar sürücülər kartla ödəniş etdiyimə görə sifarişi ləğv edirlər. O səbəbdən Uber'i də yükləməli olmuşam. Bu barədə tədbir görməyinizi xahiş edirəm. Sifarişin qəbul edilməyinə xeyli vaxt gözləyirik. Ümid edirəm nəzərə alınacaq.,2019-01-25T12:25:22Z,Xidmət barədə Proqram rahat və əlverişlidi. Lakin axır vaxtlar sürücülər kartla ödəniş etdiyimə görə sifarişi ləğv edirlər. O səbəbdən Uber'i də yükləməli olmuşam. Bu barədə tədbir görməyinizi xahiş edirəm. Sifarişin qəbul edilməyinə xeyli vaxt gözləyirik. Ümid edirəm nəzərə alınacaq.,0
Beyendik,https://itunes.apple.com/az/reviews/id185084188,iska service,CI.3.69,5,Beyendim,2019-01-23T20:34:15Z,Beyendik Beyendim,0
👎🏼👎🏼👎🏼👎🏼👎🏼,https://itunes.apple.com/az/reviews/id505230097,guzze8888,CI.3.69,1,suruculer artiq pul almaqcun dava eliyirler 4.46 oldu qiymet 40 deqiqedi seni probkalara dozub qetirirem deyib santajla 7 mamat aldi,2019-01-21T12:03:11Z,👎🏼👎🏼👎🏼👎🏼👎🏼 suruculer artiq pul almaqcun dava eliyirler 4.46 oldu qiymet 40 deqiqedi seni probkalara dozub qetirirem deyib santajla 7 mamat aldi,1
👍👍👍👍,https://itunes.apple.com/az/reviews/id659050676,Аслан А.,CI.3.69,5,"Самая лучшая такси обслуживание!!! Единственный минус это нельзя вписывать два адресата сразу, а так все супер!",2019-01-17T16:57:35Z,"👍👍👍👍 Самая лучшая такси обслуживание!!! Единственный минус это нельзя вписывать два адресата сразу, а так все супер!",0
